"x", "f(x)", "f'(x)"
-2.000000, -8.000000, 11.920178
-1.986667, -7.841064, 11.840711
-1.973333, -7.684248, 11.682311
-1.960000, -7.529536, 11.524978
-1.946667, -7.376915, 11.368711
-1.933333, -7.226370, 11.213511
-1.920000, -7.077888, 11.059378
-1.906667, -6.931454, 10.906311
-1.893333, -6.787053, 10.754311
-1.880000, -6.644672, 10.603378
-1.866667, -6.504296, 10.453511
-1.853333, -6.365912, 10.304711
-1.840000, -6.229504, 10.156978
-1.826667, -6.095059, 10.010311
-1.813333, -5.962562, 9.864711
-1.800000, -5.832000, 9.720178
-1.786667, -5.703358, 9.576711
-1.773333, -5.576621, 9.434311
-1.760000, -5.451776, 9.292978
-1.746667, -5.328808, 9.152711
-1.733333, -5.207704, 9.013511
-1.720000, -5.088448, 8.875378
-1.706667, -4.971027, 8.738311
-1.693333, -4.855426, 8.602311
-1.680000, -4.741632, 8.467378
-1.666667, -4.629630, 8.333511
-1.653333, -4.519405, 8.200711
-1.640000, -4.410944, 8.068978
-1.626667, -4.304232, 7.938311
-1.613333, -4.199256, 7.808711
-1.600000, -4.096000, 7.680178
-1.586667, -3.994451, 7.552711
-1.573333, -3.894594, 7.426311
-1.560000, -3.796416, 7.300978
-1.546667, -3.699902, 7.176711
-1.533333, -3.605037, 7.053511
-1.520000, -3.511808, 6.931378
-1.506667, -3.420200, 6.810311
-1.493333, -3.330200, 6.690311
-1.480000, -3.241792, 6.571378
-1.466667, -3.154963, 6.453511
-1.453333, -3.069698, 6.336711
-1.440000, -2.985984, 6.220978
-1.426667, -2.903806, 6.106311
-1.413333, -2.823149, 5.992711
-1.400000, -2.744000, 5.880178
-1.386667, -2.666344, 5.768711
-1.373333, -2.590168, 5.658311
-1.360000, -2.515456, 5.548978
-1.346667, -2.442195, 5.440711
-1.333333, -2.370370, 5.333511
-1.320000, -2.299968, 5.227378
-1.306667, -2.230974, 5.122311
-1.293333, -2.163373, 5.018311
-1.280000, -2.097152, 4.915378
-1.266667, -2.032296, 4.813511
-1.253333, -1.968792, 4.712711
-1.240000, -1.906624, 4.612978
-1.226667, -1.845779, 4.514311
-1.213333, -1.786242, 4.416711
-1.200000, -1.728000, 4.320178
-1.186667, -1.671038, 4.224711
-1.173333, -1.615341, 4.130311
-1.160000, -1.560896, 4.036978
-1.146667, -1.507688, 3.944711
-1.133333, -1.455704, 3.853511
-1.120000, -1.404928, 3.763378
-1.106667, -1.355347, 3.674311
-1.093333, -1.306946, 3.586311
-1.080000, -1.259712, 3.499378
-1.066667, -1.213630, 3.413511
-1.053333, -1.168685, 3.328711
-1.040000, -1.124864, 3.244978
-1.026667, -1.082152, 3.162311
-1.013333, -1.040536, 3.080711
-1.000000, -1.000000, 3.000178
-0.986667, -0.960531, 2.920711
-0.973333, -0.922114, 2.842311
-0.960000, -0.884736, 2.764978
-0.946667, -0.848382, 2.688711
-0.933333, -0.813037, 2.613511
-0.920000, -0.778688, 2.539378
-0.906667, -0.745320, 2.466311
-0.893333, -0.712920, 2.394311
-0.880000, -0.681472, 2.323378
-0.866667, -0.650963, 2.253511
-0.853333, -0.621378, 2.184711
-0.840000, -0.592704, 2.116978
-0.826667, -0.564926, 2.050311
-0.813333, -0.538029, 1.984711
-0.800000, -0.512000, 1.920178
-0.786667, -0.486824, 1.856711
-0.773333, -0.462488, 1.794311
-0.760000, -0.438976, 1.732978
-0.746667, -0.416275, 1.672711
-0.733333, -0.394370, 1.613511
-0.720000, -0.373248, 1.555378
-0.706667, -0.352894, 1.498311
-0.693333, -0.333293, 1.442311
-0.680000, -0.314432, 1.387378
-0.666667, -0.296296, 1.333511
-0.653333, -0.278872, 1.280711
-0.640000, -0.262144, 1.228978
-0.626667, -0.246099, 1.178311
-0.613333, -0.230722, 1.128711
-0.600000, -0.216000, 1.080178
-0.586667, -0.201918, 1.032711
-0.573333, -0.188461, 0.986311
-0.560000, -0.175616, 0.940978
-0.546667, -0.163368, 0.896711
-0.533333, -0.151704, 0.853511
-0.520000, -0.140608, 0.811378
-0.506667, -0.130067, 0.770311
-0.493333, -0.120066, 0.730311
-0.480000, -0.110592, 0.691378
-0.466667, -0.101630, 0.653511
-0.453333, -0.093165, 0.616711
-0.440000, -0.085184, 0.580978
-0.426667, -0.077672, 0.546311
-0.413333, -0.070616, 0.512711
-0.400000, -0.064000, 0.480178
-0.386667, -0.057811, 0.448711
-0.373333, -0.052034, 0.418311
-0.360000, -0.046656, 0.388978
-0.346667, -0.041662, 0.360711
-0.333333, -0.037037, 0.333511
-0.320000, -0.032768, 0.307378
-0.306667, -0.028840, 0.282311
-0.293333, -0.025240, 0.258311
-0.280000, -0.021952, 0.235378
-0.266667, -0.018963, 0.213511
-0.253333, -0.016258, 0.192711
-0.240000, -0.013824, 0.172978
-0.226667, -0.011646, 0.154311
-0.213333, -0.009709, 0.136711
-0.200000, -0.008000, 0.120178
-0.186667, -0.006504, 0.104711
-0.173333, -0.005208, 0.090311
-0.160000, -0.004096, 0.076978
-0.146667, -0.003155, 0.064711
-0.133333, -0.002370, 0.053511
-0.120000, -0.001728, 0.043378
-0.106667, -0.001214, 0.034311
-0.093333, -0.000813, 0.026311
-0.080000, -0.000512, 0.019378
-0.066667, -0.000296, 0.013511
-0.053333, -0.000152, 0.008711
-0.040000, -0.000064, 0.004978
-0.026667, -0.000019, 0.002311
-0.013333, -0.000002, 0.000711
0.000000, 0.000000, 0.000178
0.013333, 0.000002, 0.000711
0.026667, 0.000019, 0.002311
0.040000, 0.000064, 0.004978
0.053333, 0.000152, 0.008711
0.066667, 0.000296, 0.013511
0.080000, 0.000512, 0.019378
0.093333, 0.000813, 0.026311
0.106667, 0.001214, 0.034311
0.120000, 0.001728, 0.043378
0.133333, 0.002370, 0.053511
0.146667, 0.003155, 0.064711
0.160000, 0.004096, 0.076978
0.173333, 0.005208, 0.090311
0.186667, 0.006504, 0.104711
0.200000, 0.008000, 0.120178
0.213333, 0.009709, 0.136711
0.226667, 0.011646, 0.154311
0.240000, 0.013824, 0.172978
0.253333, 0.016258, 0.192711
0.266667, 0.018963, 0.213511
0.280000, 0.021952, 0.235378
0.293333, 0.025240, 0.258311
0.306667, 0.028840, 0.282311
0.320000, 0.032768, 0.307378
0.333333, 0.037037, 0.333511
0.346667, 0.041662, 0.360711
0.360000, 0.046656, 0.388978
0.373333, 0.052034, 0.418311
0.386667, 0.057811, 0.448711
0.400000, 0.064000, 0.480178
0.413333, 0.070616, 0.512711
0.426667, 0.077672, 0.546311
0.440000, 0.085184, 0.580978
0.453333, 0.093165, 0.616711
0.466667, 0.101630, 0.653511
0.480000, 0.110592, 0.691378
0.493333, 0.120066, 0.730311
0.506667, 0.130067, 0.770311
0.520000, 0.140608, 0.811378
0.533333, 0.151704, 0.853511
0.546667, 0.163368, 0.896711
0.560000, 0.175616, 0.940978
0.573333, 0.188461, 0.986311
0.586667, 0.201918, 1.032711
0.600000, 0.216000, 1.080178
0.613333, 0.230722, 1.128711
0.626667, 0.246099, 1.178311
0.640000, 0.262144, 1.228978
0.653333, 0.278872, 1.280711
0.666667, 0.296296, 1.333511
0.680000, 0.314432, 1.387378
0.693333, 0.333293, 1.442311
0.706667, 0.352894, 1.498311
0.720000, 0.373248, 1.555378
0.733333, 0.394370, 1.613511
0.746667, 0.416275, 1.672711
0.760000, 0.438976, 1.732978
0.773333, 0.462488, 1.794311
0.786667, 0.486824, 1.856711
0.800000, 0.512000, 1.920178
0.813333, 0.538029, 1.984711
0.826667, 0.564926, 2.050311
0.840000, 0.592704, 2.116978
0.853333, 0.621378, 2.184711
0.866667, 0.650963, 2.253511
0.880000, 0.681472, 2.323378
0.893333, 0.712920, 2.394311
0.906667, 0.745320, 2.466311
0.920000, 0.778688, 2.539378
0.933333, 0.813037, 2.613511
0.946667, 0.848382, 2.688711
0.960000, 0.884736, 2.764978
0.973333, 0.922114, 2.842311
0.986667, 0.960531, 2.920711
1.000000, 1.000000, 3.000178
1.013333, 1.040536, 3.080711
1.026667, 1.082152, 3.162311
1.040000, 1.124864, 3.244978
1.053333, 1.168685, 3.328711
1.066667, 1.213630, 3.413511
1.080000, 1.259712, 3.499378
1.093333, 1.306946, 3.586311
1.106667, 1.355347, 3.674311
1.120000, 1.404928, 3.763378
1.133333, 1.455704, 3.853511
1.146667, 1.507688, 3.944711
1.160000, 1.560896, 4.036978
1.173333, 1.615341, 4.130311
1.186667, 1.671038, 4.224711
1.200000, 1.728000, 4.320178
1.213333, 1.786242, 4.416711
1.226667, 1.845779, 4.514311
1.240000, 1.906624, 4.612978
1.253333, 1.968792, 4.712711
1.266667, 2.032296, 4.813511
1.280000, 2.097152, 4.915378
1.293333, 2.163373, 5.018311
1.306667, 2.230974, 5.122311
1.320000, 2.299968, 5.227378
1.333333, 2.370370, 5.333511
1.346667, 2.442195, 5.440711
1.360000, 2.515456, 5.548978
1.373333, 2.590168, 5.658311
1.386667, 2.666344, 5.768711
1.400000, 2.744000, 5.880178
1.413333, 2.823149, 5.992711
1.426667, 2.903806, 6.106311
1.440000, 2.985984, 6.220978
1.453333, 3.069698, 6.336711
1.466667, 3.154963, 6.453511
1.480000, 3.241792, 6.571378
1.493333, 3.330200, 6.690311
1.506667, 3.420200, 6.810311
1.520000, 3.511808, 6.931378
1.533333, 3.605037, 7.053511
1.546667, 3.699902, 7.176711
1.560000, 3.796416, 7.300978
1.573333, 3.894594, 7.426311
1.586667, 3.994451, 7.552711
1.600000, 4.096000, 7.680178
1.613333, 4.199256, 7.808711
1.626667, 4.304232, 7.938311
1.640000, 4.410944, 8.068978
1.653333, 4.519405, 8.200711
1.666667, 4.629630, 8.333511
1.680000, 4.741632, 8.467378
1.693333, 4.855426, 8.602311
1.706667, 4.971027, 8.738311
1.720000, 5.088448, 8.875378
1.733333, 5.207704, 9.013511
1.746667, 5.328808, 9.152711
1.760000, 5.451776, 9.292978
1.773333, 5.576621, 9.434311
1.786667, 5.703358, 9.576711
1.800000, 5.832000, 9.720178
1.813333, 5.962562, 9.864711
1.826667, 6.095059, 10.010311
1.840000, 6.229504, 10.156978
1.853333, 6.365912, 10.304711
1.866667, 6.504296, 10.453511
1.880000, 6.644672, 10.603378
1.893333, 6.787053, 10.754311
1.906667, 6.931454, 10.906311
1.920000, 7.077888, 11.059378
1.933333, 7.226370, 11.213511
1.946667, 7.376915, 11.368711
1.960000, 7.529536, 11.524978
1.973333, 7.684248, 11.682311
1.986667, 7.841064, 11.761244
2.000000, 8.000000, 12.000178
